#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-080	10.12	388.81	0.00	2.84	0.828	0.763	0.812	0.629	0.647
batch-04_epo-120	6.10	429.79	0.00	3.04	0.857	0.792	0.838	0.658	0.676
batch-04_epo-160	5.31	417.31	0.00	2.73	0.844	0.803	0.850	0.648	0.668
batch-04_epo-200	5.80	426.60	0.00	2.60	0.911	0.753	0.834	0.660	0.678
batch-04_epo-240	5.76	429.66	0.00	2.80	0.860	0.752	0.811	0.647	0.663
batch-04_epo-300	5.45	401.79	0.00	2.78	0.858	0.770	0.822	0.645	0.663
batch-08_epo-080	5.56	413.87	0.00	2.58	0.818	0.768	0.813	0.637	0.654
batch-08_epo-120	5.59	430.30	0.00	2.73	0.836	0.778	0.831	0.652	0.670
batch-08_epo-160	5.54	417.76	0.00	2.70	0.848	0.748	0.814	0.655	0.671
batch-08_epo-200	5.29	397.74	0.00	2.81	0.858	0.749	0.816	0.644	0.661
batch-08_epo-240	5.53	434.97	0.00	2.62	0.881	0.785	0.838	0.639	0.659
batch-08_epo-300	5.36	409.84	0.00	2.83	0.846	0.790	0.836	0.654	0.672
batch-16_epo-080	5.39	408.28	0.00	2.62	0.878	0.742	0.809	0.657	0.672
batch-16_epo-120	5.62	424.33	0.00	2.71	0.860	0.747	0.820	0.645	0.663
batch-16_epo-160	5.45	411.41	0.00	2.59	0.819	0.716	0.771	0.626	0.640
batch-16_epo-200	5.29	431.77	0.00	2.73	0.880	0.709	0.814	0.636	0.654
batch-16_epo-240	5.74	427.51	0.00	2.73	0.876	0.732	0.821	0.648	0.666
batch-16_epo-300	5.52	410.62	0.00	2.66	0.762	0.677	0.740	0.606	0.620
batch-20_epo-080	5.33	400.19	0.00	2.55	0.826	0.757	0.819	0.642	0.660
batch-20_epo-120	5.81	428.55	0.00	2.78	0.835	0.761	0.830	0.653	0.671
batch-20_epo-160	5.57	407.44	0.00	2.57	0.866	0.774	0.838	0.651	0.670
batch-20_epo-200	5.73	408.58	0.00	2.93	0.873	0.787	0.836	0.666	0.683
batch-20_epo-240	5.48	432.99	0.00	2.53	0.832	0.762	0.825	0.653	0.670
batch-20_epo-300	5.27	402.95	0.00	2.70	0.830	0.786	0.802	0.619	0.637
batch-30_epo-080	5.38	420.59	0.00	2.66	0.723	0.688	0.702	0.574	0.587
batch-30_epo-120	5.50	424.88	0.00	2.64	0.803	0.718	0.763	0.612	0.628
batch-30_epo-160	5.44	409.26	0.00	2.66	0.878	0.761	0.819	0.656	0.672
batch-30_epo-200	5.32	408.11	0.00	2.86	0.853	0.748	0.821	0.633	0.652
batch-30_epo-240	5.56	429.59	0.00	2.55	0.848	0.784	0.829	0.658	0.675
batch-30_epo-300	5.46	407.78	0.00	2.76	0.852	0.772	0.808	0.637	0.654
batch-40_epo-080	5.78	417.57	0.00	2.75	0.884	0.762	0.813	0.648	0.664
batch-40_epo-120	5.48	431.90	0.00	2.63	0.860	0.724	0.794	0.628	0.644
batch-40_epo-160	5.39	407.86	0.00	2.62	0.880	0.731	0.822	0.644	0.662
batch-40_epo-200	5.68	415.44	0.00	2.73	0.851	0.721	0.797	0.639	0.655
batch-40_epo-240	5.54	422.85	0.00	2.71	0.856	0.755	0.803	0.645	0.660
batch-40_epo-300	5.89	410.75	0.00	3.08	0.823	0.726	0.795	0.627	0.644
