epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9335,0.94694,4.35601,1.01256,0.0451,0.29076,0.05979,0.04594,0.96498,4.07918,1.07882,0.0001578,0.0001578,0.0001578
2,3.80802,0.9747,3.31629,1.02585,0.92308,0.08567,0.2529,0.19483,0.95962,3.38716,1.00098,0.000319536,0.000319536,0.000319536
3,5.71383,0.91715,2.62752,1.00811,0.44023,0.40113,0.4281,0.30535,0.98375,2.37485,1.06227,0.000479928,0.000479928,0.000479928
4,7.61997,0.89388,2.23273,1.00419,0.56772,0.52252,0.60914,0.40889,0.96459,1.82758,1.02065,0.000519491,0.000519491,0.000519491
5,9.53839,0.85724,2.01342,0.98651,0.6463,0.75224,0.68571,0.48496,1.01317,1.38753,1.18939,0.000517321,0.000517321,0.000517321
6,11.4467,0.8509,1.81336,0.99448,0.6242,0.71407,0.72143,0.52287,0.94116,1.33522,1.08057,0.000515151,0.000515151,0.000515151
7,13.3523,0.7533,1.57646,0.94471,0.68694,0.73103,0.72696,0.52659,0.90249,1.12094,1.05518,0.000512981,0.000512981,0.000512981
8,15.2633,0.7722,1.47591,0.94248,0.74265,0.74241,0.7761,0.56868,0.93536,1.13361,1.08526,0.000510812,0.000510812,0.000510812
9,17.1652,0.7693,1.39426,0.94799,0.72309,0.7152,0.74274,0.53815,0.93191,1.21568,1.0435,0.000508642,0.000508642,0.000508642
10,19.0537,0.75633,1.36846,0.92741,0.75063,0.73427,0.77208,0.57926,0.92399,0.99752,1.07679,0.000506472,0.000506472,0.000506472
11,20.9473,0.74728,1.32157,0.948,0.76352,0.78181,0.78761,0.58091,0.95492,0.95116,1.09465,0.000504302,0.000504302,0.000504302
12,22.8646,0.77584,1.34494,0.96301,0.75082,0.72544,0.77953,0.57882,0.9221,1.062,1.04741,0.000502133,0.000502133,0.000502133
13,24.8681,0.73392,1.18978,0.92089,0.79259,0.79047,0.79624,0.6067,0.89709,0.91339,1.03533,0.000499963,0.000499963,0.000499963
14,26.7964,0.71954,1.15712,0.92765,0.80582,0.75967,0.80213,0.58728,0.91542,0.90989,1.0362,0.000497793,0.000497793,0.000497793
15,28.6802,0.70385,1.14573,0.92514,0.78045,0.80039,0.82046,0.59913,0.91951,0.89193,1.06335,0.000495624,0.000495624,0.000495624
16,30.666,0.71249,1.15788,0.94086,0.85042,0.7282,0.81494,0.58736,0.9686,0.88367,1.11702,0.000493454,0.000493454,0.000493454
17,32.5839,0.68977,1.0493,0.92917,0.81757,0.79196,0.82887,0.60711,0.94782,0.82936,1.10062,0.000491284,0.000491284,0.000491284
18,34.4789,0.69874,1.0592,0.92356,0.82121,0.78236,0.84599,0.635,0.90173,0.8256,1.06691,0.000489114,0.000489114,0.000489114
19,36.381,0.6593,0.97752,0.90954,0.83508,0.82518,0.84982,0.61422,0.94818,0.82093,1.09283,0.000486945,0.000486945,0.000486945
20,38.2635,0.68945,1.02694,0.93187,0.82037,0.82798,0.8465,0.62746,0.89725,0.76346,1.04645,0.000484775,0.000484775,0.000484775
21,40.1536,0.64862,0.91349,0.89529,0.84921,0.81307,0.83754,0.6271,0.87965,0.77134,1.03631,0.000482605,0.000482605,0.000482605
22,42.0219,0.68115,0.96043,0.91915,0.84397,0.79213,0.84281,0.62008,0.88513,0.78744,1.02977,0.000480435,0.000480435,0.000480435
23,43.8877,0.66506,0.92964,0.9212,0.77931,0.78853,0.8074,0.58711,0.95685,0.85959,1.13408,0.000478265,0.000478265,0.000478265
24,45.7716,0.64269,0.90134,0.91289,0.75605,0.77441,0.79522,0.59356,0.90733,0.82914,1.05026,0.000476096,0.000476096,0.000476096
25,47.6441,0.65621,0.85835,0.90174,0.73279,0.80512,0.80682,0.60099,0.9325,0.87976,1.06898,0.000473926,0.000473926,0.000473926
26,49.515,0.64971,0.8659,0.90767,0.77322,0.88972,0.87426,0.64654,0.89478,0.7204,1.05568,0.000471756,0.000471756,0.000471756
27,51.4001,0.64944,0.85888,0.91803,0.75791,0.86916,0.82483,0.61102,0.94565,0.79576,1.09031,0.000469586,0.000469586,0.000469586
28,53.2704,0.61932,0.83902,0.89868,0.85534,0.78191,0.81463,0.61434,0.92199,0.79175,1.06606,0.000467417,0.000467417,0.000467417
29,55.1325,0.63391,0.81937,0.90379,0.7171,0.80986,0.81735,0.61597,0.87953,0.78827,1.05042,0.000465247,0.000465247,0.000465247
30,56.9929,0.61031,0.80921,0.89611,0.85606,0.74451,0.81177,0.60986,0.91447,0.8246,1.0615,0.000463077,0.000463077,0.000463077
31,58.9971,0.639,0.79982,0.90502,0.79644,0.81402,0.84465,0.63585,0.86281,0.76186,1.02803,0.000460907,0.000460907,0.000460907
32,60.8936,0.63795,0.83577,0.9023,0.75403,0.8798,0.84167,0.63296,0.87294,0.75026,1.05148,0.000458738,0.000458738,0.000458738
33,62.7828,0.64891,0.78868,0.90441,0.76372,0.85842,0.83966,0.61424,0.92653,0.78977,1.09561,0.000456568,0.000456568,0.000456568
34,64.6495,0.61046,0.74996,0.88646,0.79778,0.7302,0.84771,0.63181,0.86874,0.77353,1.03787,0.000454398,0.000454398,0.000454398
35,66.5368,0.62491,0.79365,0.90193,0.77642,0.88788,0.8537,0.6267,0.90003,0.71732,1.09199,0.000452229,0.000452229,0.000452229
36,68.4229,0.6191,0.76004,0.89076,0.7579,0.8987,0.85041,0.60591,0.94844,0.77649,1.12478,0.000450059,0.000450059,0.000450059
37,70.3151,0.62394,0.7914,0.90988,0.88901,0.81465,0.85285,0.64244,0.85986,0.67161,1.03768,0.000447889,0.000447889,0.000447889
38,72.2193,0.58418,0.73596,0.87648,0.89336,0.7942,0.84671,0.651,0.8464,0.69683,1.01924,0.000445719,0.000445719,0.000445719
39,74.1117,0.62008,0.74342,0.89805,0.86636,0.75709,0.8336,0.62515,0.86952,0.80081,1.03686,0.00044355,0.00044355,0.00044355
40,75.9956,0.62785,0.7826,0.90154,0.73789,0.85643,0.83902,0.62465,0.89129,0.76434,1.03921,0.00044138,0.00044138,0.00044138
41,77.8877,0.57708,0.7047,0.87836,0.80052,0.92597,0.85018,0.64412,0.8446,0.71828,1.01934,0.00043921,0.00043921,0.00043921
42,79.7741,0.60779,0.72673,0.89171,0.79446,0.90132,0.84884,0.6479,0.85958,0.72118,1.04158,0.00043704,0.00043704,0.00043704
43,81.6832,0.58748,0.71407,0.89348,0.85853,0.81434,0.8442,0.64036,0.88023,0.7219,1.06423,0.00043487,0.00043487,0.00043487
44,83.5859,0.61402,0.739,0.88964,0.79764,0.83829,0.86555,0.63385,0.8908,0.71607,1.07672,0.000432701,0.000432701,0.000432701
45,85.4665,0.58644,0.69911,0.88221,0.7481,0.82973,0.85629,0.64315,0.86289,0.72151,1.03979,0.000430531,0.000430531,0.000430531
46,87.5049,0.58949,0.6938,0.89809,0.88554,0.83691,0.85419,0.64079,0.85891,0.68875,1.04891,0.000428361,0.000428361,0.000428361
47,89.4428,0.61564,0.71475,0.89755,0.87949,0.82002,0.85633,0.62653,0.89528,0.72337,1.07277,0.000426191,0.000426191,0.000426191
48,91.3274,0.58646,0.65566,0.88406,0.87248,0.78351,0.82635,0.60676,0.95454,0.76506,1.10206,0.000424022,0.000424022,0.000424022
49,93.1851,0.58077,0.70238,0.89188,0.83737,0.77935,0.8368,0.61346,0.9217,0.83243,1.0739,0.000421852,0.000421852,0.000421852
50,95.0778,0.5781,0.65798,0.8882,0.77699,0.87529,0.8413,0.6149,0.93761,0.75338,1.08472,0.000419682,0.000419682,0.000419682
51,96.9485,0.58182,0.65981,0.87448,0.81566,0.86098,0.84282,0.62539,0.93229,0.80857,1.07601,0.000417512,0.000417512,0.000417512
52,98.8126,0.60268,0.6721,0.88492,0.81258,0.89997,0.85472,0.63792,0.89154,0.75518,1.07095,0.000415343,0.000415343,0.000415343
53,100.686,0.5856,0.6729,0.88459,0.79831,0.89318,0.86829,0.66266,0.8524,0.65206,1.06677,0.000413173,0.000413173,0.000413173
54,102.546,0.60204,0.67977,0.89139,0.88173,0.8457,0.87146,0.65188,0.89782,0.63963,1.09747,0.000411003,0.000411003,0.000411003
55,104.426,0.58058,0.65184,0.87852,0.7916,0.89236,0.87289,0.65974,0.85893,0.60592,1.05054,0.000408834,0.000408834,0.000408834
56,106.31,0.60236,0.66593,0.89684,0.85934,0.84801,0.91319,0.69496,0.83882,0.64266,1.04336,0.000406664,0.000406664,0.000406664
57,108.181,0.5737,0.6234,0.8776,0.79195,0.89434,0.87016,0.63097,0.94859,0.69399,1.14651,0.000404494,0.000404494,0.000404494
58,110.063,0.59038,0.65376,0.8909,0.88626,0.83499,0.87646,0.63185,0.97423,0.68252,1.11495,0.000402324,0.000402324,0.000402324
59,111.922,0.59295,0.64441,0.88963,0.91443,0.80545,0.86868,0.64397,0.88623,0.63579,1.06753,0.000400154,0.000400154,0.000400154
60,113.886,0.56349,0.61446,0.88323,0.79289,0.83203,0.87605,0.63911,0.93119,0.68492,1.10039,0.000397985,0.000397985,0.000397985
