epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.973285,1.82195,4.7305,1.44537,0,0,0,0,1.45378,4.49768,1.2035,0.0964,0.0004,0.0004
2,1.87413,1.60541,4.37886,1.30169,0.03126,0.14814,0.0626,0.03481,1.1803,4.24944,1.08854,0.0918889,0.000888863,0.000888863
3,2.84367,1.47054,3.16244,1.22925,0.03822,0.28308,0.04526,0.02622,1.29652,3.9036,1.3459,0.0873654,0.00136535,0.00136535
4,3.83892,1.21804,2.51977,1.13827,0.03812,0.33313,0.06573,0.04294,1.39149,18.202,1.70576,0.0828295,0.00182946,0.00182946
5,4.86835,1.2607,2.42544,1.23805,0.0371,0.03507,0.02396,0.01365,2.10193,inf,3.50722,0.0782812,0.0022812,0.0022812
6,6.05527,1.29477,2.27188,1.1746,2e-05,0.00595,1e-05,0,1.86794,inf,3.59405,0.0737206,0.00272056,0.00272056
7,7.61916,1.21215,2.11379,1.17443,0.00035,0.13593,0.00037,0.00014,2.10402,inf,3.77148,0.0691476,0.00314755,0.00314755
8,9.48026,1.18931,1.87613,1.17885,0,0,0,0,3.3153,inf,9.28939,0.0645622,0.00356216,0.00356216
9,10.6444,1.19209,1.87108,1.14863,0.00013,0.04167,0.00015,5e-05,2.28982,inf,3.60165,0.0599644,0.0039644,0.0039644
10,12.457,1.23082,1.8209,1.19074,0,0,0,0,2.68762,inf,4.78296,0.0553543,0.00435426,0.00435426
11,13.4903,1.15063,1.62126,1.11307,0,0,0,0,2.74583,inf,5.86373,0.0507318,0.00473175,0.00473175
12,15.393,1.1184,1.52549,1.10576,0.00012,0.02381,0.00027,6e-05,4.89383,inf,16.1595,0.0460969,0.00509686,0.00509686
13,16.4062,1.15691,1.56023,1.1956,0.00018,0.05574,0.00016,5e-05,2.28543,inf,3.15394,0.0414496,0.0054496,0.0054496
14,18.3334,1.13587,1.49427,1.13251,0,0,0,0,3.81061,inf,15.6836,0.03679,0.00578996,0.00578996
15,20.3001,1.19834,1.38534,1.13046,0,0,0,0,4.16123,inf,12.2957,0.032118,0.00611795,0.00611795
16,21.7344,1.19823,1.50901,1.20783,0,0,0,0,3.42831,inf,12.7789,0.0274336,0.00643356,0.00643356
17,22.9306,1.23675,1.55461,1.15834,0,0,0,0,3.02249,inf,5.97564,0.0227368,0.0067368,0.0067368
18,23.9232,1.14937,1.48817,1.23872,0.52771,0.09822,0.11789,0.07536,1.46349,9.90051,1.85974,0.0180277,0.00702766,0.00702766
19,25.0429,1.04728,1.25889,1.1034,0.19474,0.2069,0.18965,0.1227,1.43363,7.00196,1.66205,0.0133062,0.00730615,0.00730615
20,26.0483,1.00402,1.20417,1.12119,0.37309,0.12432,0.12051,0.07374,1.37737,12.3024,1.67679,0.00857226,0.00757226,0.00757226
21,27.0381,1.05019,1.24428,1.07254,0.3644,0.11741,0.15361,0.10087,1.45043,inf,1.71972,0.007525,0.007525,0.007525
22,28.0375,0.98843,1.12275,1.11869,0.59708,0.12255,0.15747,0.09769,1.40894,6.61956,1.59909,0.00740125,0.00740125,0.00740125
23,28.9971,0.95928,1.09547,1.0375,0.81074,0.20422,0.25387,0.16691,1.26763,3.31221,1.41601,0.0072775,0.0072775,0.0072775
24,29.9542,0.96458,1.07679,1.05298,0.62542,0.32078,0.33664,0.23126,1.19464,2.43327,1.34409,0.00715375,0.00715375,0.00715375
25,30.9375,1.0135,1.03627,1.07351,0.41728,0.54915,0.48538,0.33122,1.07492,2.07043,1.26454,0.00703,0.00703,0.00703
26,31.9075,1.02865,1.10159,1.05521,0.56981,0.49279,0.53552,0.3631,1.12814,1.57834,1.26906,0.00690625,0.00690625,0.00690625
