#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	0.40	5.77	0.00	10.74	0.179	0.106	0.106	0.060	0.065
batch-04_epo-080	0.57	6.79	0.00	1.72	0.832	0.744	0.791	0.687	0.697
batch-04_epo-120	0.39	7.73	0.00	2.28	0.913	0.779	0.848	0.733	0.745
batch-04_epo-160	0.38	8.03	0.00	1.47	0.870	0.779	0.835	0.718	0.730
batch-08_epo-040	0.32	6.92	0.00	1.57	0.790	0.692	0.754	0.635	0.647
batch-08_epo-080	0.41	6.88	0.00	1.45	0.799	0.710	0.764	0.653	0.664
batch-08_epo-120	0.38	7.63	0.00	1.49	0.915	0.777	0.844	0.741	0.751
batch-08_epo-160	0.31	7.87	0.00	1.33	0.798	0.664	0.743	0.635	0.646
batch-16_epo-040	0.39	7.76	0.00	1.54	0.878	0.796	0.856	0.731	0.743
batch-16_epo-080	0.44	6.78	0.00	1.33	0.837	0.741	0.789	0.676	0.687
batch-16_epo-120	0.29	7.79	0.00	1.50	0.842	0.750	0.823	0.704	0.716
batch-16_epo-160	0.32	8.03	0.00	0.95	0.798	0.702	0.759	0.650	0.661
batch-32_epo-040	0.34	7.86	0.00	2.02	0.717	0.664	0.711	0.596	0.607
batch-32_epo-080	0.29	7.87	0.00	1.38	0.870	0.772	0.833	0.702	0.715
batch-32_epo-120	0.30	7.31	0.03	1.92	0.874	0.769	0.833	0.709	0.721
batch-32_epo-160	0.31	7.79	0.00	1.62	0.836	0.737	0.787	0.681	0.692
