#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
#
batch-04_epo-080	0.28	2.13	0.00	1.67	0.851	0.784	0.827	0.642	0.660
batch-04_epo-120	0.26	2.23	0.00	0.56	0.857	0.798	0.840	0.661	0.679
batch-04_epo-160	0.26	1.90	0.00	0.65	0.866	0.808	0.851	0.653	0.672
batch-04_epo-200	0.28	2.11	0.00	0.55	0.892	0.794	0.851	0.666	0.685
batch-04_epo-240	0.27	2.02	0.00	0.71	0.870	0.781	0.823	0.661	0.677
batch-04_epo-300	0.26	1.91	0.00	0.77	0.887	0.792	0.849	0.671	0.689
batch-08_epo-080	0.28	1.87	0.00	1.04	0.879	0.786	0.838	0.651	0.670
batch-08_epo-120	0.28	1.77	0.00	1.16	0.868	0.791	0.843	0.658	0.677
batch-08_epo-160	0.28	1.77	0.00	1.10	0.881	0.800	0.849	0.669	0.687
batch-08_epo-200	0.28	1.78	0.00	1.12	0.872	0.760	0.821	0.656	0.673
batch-08_epo-240	0.28	1.81	0.02	1.08	0.873	0.827	0.862	0.665	0.685
batch-08_epo-300	0.28	1.76	0.00	1.06	0.886	0.818	0.859	0.667	0.686
batch-16_epo-080	0.31	1.62	0.00	1.94	0.868	0.765	0.822	0.664	0.680
batch-16_epo-120	0.35	1.70	0.00	1.95	0.893	0.769	0.833	0.659	0.676
batch-16_epo-160	0.36	1.70	0.00	2.02	0.851	0.735	0.798	0.645	0.660
batch-16_epo-200	0.35	1.65	0.00	2.03	0.886	0.731	0.820	0.642	0.659
batch-16_epo-240	0.34	1.68	0.00	2.09	0.885	0.752	0.834	0.656	0.674
batch-16_epo-300	0.31	1.69	0.00	2.02	0.873	0.743	0.816	0.655	0.671
batch-20_epo-080	0.34	1.78	0.01	2.34	0.865	0.779	0.837	0.650	0.668
batch-20_epo-120	0.40	1.63	0.00	2.52	0.871	0.763	0.830	0.656	0.674
batch-20_epo-160	0.37	1.66	0.00	2.22	0.884	0.778	0.839	0.667	0.684
batch-20_epo-200	0.36	1.59	0.00	1.78	0.870	0.811	0.853	0.677	0.695
batch-20_epo-240	0.33	1.83	0.02	1.66	0.886	0.808	0.854	0.669	0.687
batch-20_epo-300	0.37	1.56	0.02	2.08	0.936	0.850	0.904	0.725	0.743
batch-30_epo-080	0.38	1.89	0.00	0.87	0.889	0.732	0.806	0.624	0.642
batch-30_epo-120	0.38	1.71	0.00	1.37	0.869	0.776	0.826	0.657	0.673
batch-30_epo-160	0.45	1.66	0.00	1.29	0.877	0.765	0.823	0.655	0.672
batch-30_epo-200	0.43	1.75	0.00	1.30	0.880	0.761	0.832	0.645	0.664
batch-30_epo-240	0.39	1.70	0.00	1.24	0.891	0.811	0.856	0.671	0.689
batch-30_epo-300	0.44	1.67	0.02	1.24	0.867	0.807	0.838	0.662	0.680
batch-40_epo-080	1.01	1.98	0.00	0.31	0.883	0.799	0.842	0.656	0.675
batch-40_epo-120	1.03	1.93	0.00	0.38	0.873	0.732	0.808	0.641	0.658
batch-40_epo-160	1.02	1.95	0.00	0.29	0.876	0.745	0.825	0.654	0.671
batch-40_epo-200	1.03	1.96	0.00	0.34	0.872	0.751	0.823	0.652	0.669
batch-40_epo-240	1.05	2.18	0.00	0.29	0.867	0.769	0.829	0.656	0.673
batch-40_epo-300	1.06	1.98	0.00	0.31	0.878	0.756	0.827	0.648	0.666
