#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	1.37	5.40	0.00	2.02	0.796	0.908	0.870	0.708	0.724
batch-04_epo-080	1.26	4.60	0.00	2.01	0.881	0.901	0.896	0.732	0.748
batch-04_epo-120	1.34	4.49	0.00	1.94	0.819	0.915	0.922	0.764	0.780
batch-04_epo-160	1.67	4.52	0.00	1.72	0.927	0.903	0.933	0.775	0.791
batch-04_epo-180	1.32	4.48	0.00	1.87	0.907	0.889	0.931	0.783	0.798
batch-04_epo-200	1.36	4.48	0.03	1.94	0.939	0.901	0.949	0.790	0.806
batch-08_epo-040	1.76	4.39	0.03	2.07	0.827	0.903	0.884	0.728	0.744
batch-08_epo-080	1.88	4.40	0.01	1.93	0.903	0.884	0.916	0.767	0.782
batch-08_epo-120	1.69	4.31	0.02	2.00	0.908	0.908	0.944	0.788	0.804
batch-08_epo-160	2.30	4.29	0.07	1.64	0.909	0.857	0.943	0.782	0.798
batch-08_epo-180	1.76	4.30	0.01	2.13	0.890	0.904	0.943	0.793	0.808
batch-08_epo-200	1.94	4.16	0.01	2.22	0.898	0.901	0.927	0.783	0.797
batch-16_epo-040	1.72	3.97	0.00	0.92	0.850	0.897	0.886	0.733	0.748
batch-16_epo-080	1.74	3.89	0.00	0.38	0.900	0.851	0.915	0.765	0.780
batch-16_epo-120	1.56	3.96	0.00	0.39	0.912	0.863	0.916	0.766	0.781
batch-16_epo-160	1.74	3.94	0.00	0.36	0.930	0.887	0.940	0.794	0.809
batch-16_epo-180	1.61	3.95	0.00	0.53	0.924	0.901	0.948	0.784	0.800
batch-16_epo-200	1.65	3.76	0.00	0.35	0.933	0.897	0.940	0.797	0.811
batch-32_epo-040	0.59	4.01	0.00	0.41	0.815	0.947	0.883	0.743	0.757
batch-32_epo-080	0.29	3.83	0.00	0.39	0.875	0.916	0.929	0.787	0.801
batch-32_epo-120	0.26	3.84	0.00	0.38	0.919	0.913	0.936	0.782	0.797
batch-32_epo-160	0.55	3.88	0.00	0.41	0.921	0.902	0.946	0.804	0.818
batch-32_epo-180	0.32	3.84	0.00	0.37	0.903	0.902	0.948	0.802	0.817
batch-32_epo-200	0.60	3.87	0.00	0.36	0.928	0.871	0.918	0.774	0.788
