#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
batch-04_epo-040	0.30	4.67	0.03	1.86	0.886	0.937	0.927	0.762	0.778
batch-04_epo-080	0.29	4.51	0.00	1.81	0.824	0.962	0.945	0.786	0.802
batch-04_epo-120	0.29	4.23	0.00	2.03	0.881	0.895	0.961	0.811	0.826
batch-04_epo-160	0.28	4.50	0.00	2.29	0.810	0.961	0.969	0.817	0.832
batch-04_epo-180	0.32	4.20	0.00	2.02	0.892	0.901	0.957	0.799	0.815
batch-04_epo-200	0.28	4.06	0.00	2.07	0.847	0.910	0.974	0.813	0.829
batch-08_epo-040	0.36	4.40	0.00	0.36	0.876	0.943	0.930	0.792	0.806
batch-08_epo-080	0.72	3.95	0.00	0.34	0.899	0.891	0.972	0.811	0.827
batch-08_epo-120	0.74	4.36	0.00	0.34	0.907	0.900	0.953	0.806	0.821
batch-08_epo-160	0.74	4.24	0.00	0.35	0.881	0.914	0.956	0.806	0.821
batch-08_epo-180	0.74	4.19	0.00	0.34	0.896	0.907	0.966	0.812	0.827
batch-08_epo-200	0.29	4.36	0.00	0.34	0.903	0.903	0.967	0.819	0.834
batch-16_epo-040	0.22	3.80	0.00	0.35	0.846	0.903	0.927	0.772	0.788
batch-16_epo-080	0.22	4.81	0.00	0.32	0.907	0.914	0.962	0.805	0.821
batch-16_epo-120	0.22	4.01	0.00	0.31	0.931	0.909	0.967	0.823	0.838
batch-16_epo-160	0.22	4.01	0.00	0.31	0.881	0.932	0.965	0.812	0.827
batch-16_epo-180	0.22	3.93	0.00	0.31	0.944	0.925	0.968	0.826	0.840
batch-16_epo-200	0.22	3.86	0.00	0.32	0.878	0.893	0.971	0.813	0.829
batch-32_epo-040	0.23	4.02	0.00	0.36	0.825	0.944	0.930	0.774	0.789
batch-32_epo-080	0.24	4.01	0.00	0.32	0.934	0.887	0.969	0.813	0.828
batch-32_epo-120	0.22	4.01	0.00	0.31	0.890	0.936	0.972	0.825	0.840
batch-32_epo-160	0.22	3.86	0.00	0.31	0.892	0.916	0.961	0.812	0.827
batch-32_epo-180	0.22	4.00	0.00	0.31	0.905	0.928	0.971	0.823	0.838
batch-32_epo-200	0.22	4.01	0.00	0.32	0.896	0.952	0.972	0.815	0.831
