#meta-params	pre[ms]	inf[ms]	loss[ms]	post[ms]	prec	recall	mAP50	mAP50-95	fitness
#pre:preprocessing; inf:inference; post:postprocessing; prec:precision
#
batch-04_epo-080	0.31	2.51	0.00	1.53	0.861	0.888	0.887	0.727	0.743
batch-04_epo-120	0.25	1.90	0.00	0.54	0.881	0.860	0.880	0.730	0.745
batch-04_epo-160	0.26	2.03	0.00	0.66	0.881	0.886	0.892	0.741	0.756
batch-04_epo-200	0.25	2.14	0.00	0.72	0.876	0.884	0.892	0.743	0.758
batch-04_epo-240	0.27	2.00	0.00	0.61	0.858	0.863	0.879	0.712	0.729
batch-04_epo-300	0.29	2.36	0.00	0.88	0.874	0.870	0.883	0.736	0.751
batch-08_epo-080	0.29	1.90	0.00	1.19	0.884	0.852	0.884	0.740	0.754
batch-08_epo-120	0.26	1.80	0.00	1.15	0.858	0.864	0.883	0.727	0.742
batch-08_epo-160	0.28	1.73	0.00	1.14	0.879	0.859	0.885	0.748	0.762
batch-08_epo-200	0.26	1.75	0.00	1.00	0.910	0.862	0.887	0.742	0.756
batch-08_epo-240	0.28	1.74	0.00	1.22	0.860	0.861	0.883	0.742	0.756
batch-08_epo-300	0.28	1.77	0.00	1.12	0.875	0.849	0.876	0.733	0.748
batch-16_epo-080	0.38	1.71	0.00	3.00	0.892	0.884	0.893	0.741	0.756
batch-16_epo-120	0.35	1.61	0.03	2.54	0.873	0.869	0.882	0.749	0.762
batch-16_epo-160	0.36	1.72	0.00	2.43	0.876	0.859	0.886	0.739	0.754
batch-16_epo-200	0.32	1.64	0.00	2.44	0.888	0.884	0.890	0.747	0.761
batch-16_epo-240	0.35	1.59	0.00	2.41	0.894	0.860	0.885	0.756	0.769
batch-16_epo-300	0.30	1.73	0.00	2.47	0.884	0.862	0.889	0.746	0.760
batch-20_epo-080	0.71	1.82	0.00	2.17	0.886	0.871	0.892	0.751	0.765
batch-20_epo-120	0.69	1.59	0.00	1.95	0.889	0.882	0.897	0.751	0.765
batch-20_epo-160	0.68	1.81	0.00	1.75	0.904	0.868	0.900	0.767	0.780
batch-20_epo-200	0.71	1.68	0.00	2.00	0.900	0.884	0.898	0.746	0.761
batch-20_epo-240	0.74	1.63	0.00	2.11	0.888	0.886	0.896	0.750	0.765
batch-20_epo-300	0.69	1.70	0.00	2.11	0.880	0.868	0.887	0.746	0.761
batch-30_epo-080	1.06	2.20	0.00	1.07	0.903	0.870	0.888	0.742	0.756
batch-30_epo-120	0.87	1.84	0.02	1.27	0.899	0.848	0.883	0.741	0.755
batch-30_epo-160	1.09	2.37	0.00	0.86	0.899	0.860	0.885	0.749	0.762
batch-30_epo-200	1.02	2.37	0.00	0.87	0.860	0.822	0.860	0.736	0.748
batch-30_epo-240	1.09	2.33	0.00	1.08	0.935	0.946	0.955	0.815	0.829
batch-30_epo-300	0.89	2.01	0.00	1.07	0.936	0.948	0.962	0.822	0.836
batch-40_epo-080	0.43	1.67	0.00	0.28	0.903	0.865	0.883	0.737	0.752
batch-40_epo-120	0.57	1.63	0.00	0.29	0.886	0.863	0.885	0.749	0.762
batch-40_epo-160	0.52	1.71	0.00	0.28	0.879	0.859	0.879	0.726	0.742
batch-40_epo-200	0.56	1.59	0.00	0.28	0.884	0.882	0.894	0.757	0.771
batch-40_epo-240	0.56	1.65	0.00	0.31	0.865	0.879	0.888	0.745	0.760
batch-40_epo-300	0.39	1.63	0.00	0.27	0.941	0.940	0.962	0.825	0.838
