epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.51824,0.99842,4.58065,1.04231,0,0,0,0,0.87368,4.36277,1.00152,6.312e-05,6.312e-05,6.312e-05
2,3.06429,0.89486,3.79732,0.98818,0.04233,0.34112,0.06655,0.04858,0.84577,4.03991,0.92261,0.000131066,0.000131066,0.000131066
3,4.59239,0.89841,2.9019,0.99065,0.03928,0.57069,0.23855,0.16359,0.83815,3.82606,0.9064,0.000198561,0.000198561,0.000198561
4,6.12036,0.84803,2.37507,0.97288,0.41009,0.45946,0.41174,0.29988,0.87319,3.32587,0.89713,0.000265604,0.000265604,0.000265604
5,7.64466,0.87935,2.04033,0.97478,0.04787,0.88451,0.54672,0.39335,0.85083,3.10598,0.91229,0.000332196,0.000332196,0.000332196
6,9.15619,0.81032,1.69685,0.9388,0.74226,0.30485,0.59606,0.40899,0.85867,3.04875,0.94983,0.000398337,0.000398337,0.000398337
7,10.6545,0.80734,1.53414,0.95,0.852,0.23892,0.72264,0.51355,0.84139,2.50873,0.96882,0.000464027,0.000464027,0.000464027
8,12.1595,0.7603,1.43123,0.94726,0.83381,0.49836,0.75288,0.55551,0.83755,2.08097,0.97828,0.000513849,0.000513849,0.000513849
9,13.6895,0.77914,1.34492,0.93685,0.86323,0.5293,0.71362,0.52811,0.80644,1.86663,0.96887,0.000512114,0.000512114,0.000512114
10,15.2031,0.77749,1.34349,0.93749,0.769,0.71151,0.7825,0.5848,0.83734,1.37756,1.00375,0.000510378,0.000510378,0.000510378
11,16.7385,0.73908,1.27636,0.92059,0.82341,0.76603,0.77375,0.56676,0.88469,1.12198,1.02524,0.000508642,0.000508642,0.000508642
12,18.2877,0.77218,1.23902,0.93231,0.73767,0.77085,0.77359,0.57066,0.83538,0.9157,0.97875,0.000506906,0.000506906,0.000506906
13,19.794,0.71553,1.13432,0.91229,0.73129,0.7478,0.76911,0.57432,0.82923,0.94633,0.96833,0.00050517,0.00050517,0.00050517
14,21.2998,0.69832,1.1202,0.90962,0.77386,0.76597,0.78799,0.58666,0.81368,0.92731,0.98621,0.000503435,0.000503435,0.000503435
15,22.831,0.6987,1.05101,0.90783,0.74478,0.71804,0.80842,0.58964,0.80618,0.92423,0.975,0.000501699,0.000501699,0.000501699
16,24.3371,0.70725,1.0264,0.92066,0.8946,0.73785,0.8164,0.59599,0.83072,0.80498,1.03037,0.000499963,0.000499963,0.000499963
17,25.845,0.70093,0.97578,0.91216,0.8339,0.74975,0.83555,0.61553,0.83699,0.87103,0.9936,0.000498227,0.000498227,0.000498227
18,27.5816,0.70277,1.02671,0.91291,0.69333,0.74086,0.83376,0.60646,0.80383,0.86268,0.99298,0.000496491,0.000496491,0.000496491
19,29.0847,0.68535,0.95228,0.9071,0.81718,0.79926,0.83865,0.60157,0.79461,0.82324,0.96494,0.000494756,0.000494756,0.000494756
20,30.599,0.68263,0.92465,0.89676,0.8412,0.7782,0.84124,0.60552,0.79345,0.87421,0.9509,0.00049302,0.00049302,0.00049302
21,32.1175,0.63684,0.8836,0.87879,0.84462,0.8194,0.84395,0.61365,0.81544,0.70482,0.99439,0.000491284,0.000491284,0.000491284
22,33.6124,0.6704,0.87129,0.9064,0.75588,0.86326,0.83677,0.60874,0.8072,0.70041,0.97942,0.000489548,0.000489548,0.000489548
23,35.098,0.63756,0.87262,0.90685,0.7064,0.7874,0.83641,0.62103,0.80223,0.6772,0.99183,0.000487812,0.000487812,0.000487812
24,36.6194,0.64436,0.83971,0.88623,0.87519,0.7866,0.8557,0.63742,0.78178,0.68895,0.96724,0.000486077,0.000486077,0.000486077
25,38.1354,0.64152,0.83822,0.89577,0.88417,0.76383,0.8607,0.63689,0.7934,0.69546,0.97926,0.000484341,0.000484341,0.000484341
26,39.6761,0.64136,0.81358,0.89513,0.82398,0.78736,0.84463,0.63685,0.79782,0.62148,0.98504,0.000482605,0.000482605,0.000482605
27,41.1831,0.6814,0.85794,0.91262,0.73902,0.86712,0.8431,0.63289,0.76939,0.69849,0.95842,0.000480869,0.000480869,0.000480869
28,42.6733,0.62431,0.79163,0.88746,0.80648,0.91959,0.86075,0.66415,0.76467,0.69611,0.95667,0.000479133,0.000479133,0.000479133
29,44.1947,0.60169,0.78206,0.88419,0.78916,0.93785,0.87332,0.65075,0.7979,0.61273,0.99292,0.000477398,0.000477398,0.000477398
