epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87386,1.00951,4.57454,1.04093,0,0,0,0,0.933,4.5037,1.08191,3.156e-05,3.156e-05,3.156e-05
2,3.2739,0.97394,4.46261,1.03046,0,0,0,0,0.91495,4.2789,0.97931,6.80415e-05,6.80415e-05,6.80415e-05
3,4.76358,0.88763,3.88272,0.9749,0.04797,0.32366,0.06551,0.0491,0.8975,4.02597,0.91165,0.000104159,0.000104159,0.000104159
4,6.26682,0.92197,2.95698,0.99185,0.03312,0.6132,0.10661,0.0773,0.93855,3.72023,0.92243,0.000139911,0.000139911,0.000139911
5,7.77117,0.8859,2.42599,0.97812,0.03523,0.68138,0.28145,0.19617,0.86598,3.71038,0.91338,0.000175299,0.000175299,0.000175299
6,9.26856,0.81814,1.88147,0.96671,0.04618,0.83001,0.41908,0.31016,0.8799,3.49879,0.92014,0.000210322,0.000210322,0.000210322
7,10.7573,0.81557,1.58487,0.94452,0.06951,0.85223,0.52414,0.37428,0.85037,3.42809,0.91269,0.000244981,0.000244981,0.000244981
8,12.243,0.78646,1.42505,0.92496,0.08606,0.85329,0.58102,0.43528,0.81934,3.37439,0.91047,0.000279276,0.000279276,0.000279276
9,13.7391,0.74389,1.29811,0.91222,0.08298,0.89935,0.72935,0.53363,0.85314,3.20393,0.93268,0.000313206,0.000313206,0.000313206
10,15.2315,0.75659,1.20723,0.92878,0.88855,0.16581,0.6815,0.5058,0.81752,3.15047,0.90891,0.000346771,0.000346771,0.000346771
11,16.7074,0.73669,1.15888,0.91226,0.09032,0.90692,0.71959,0.5178,0.8747,2.98896,0.94777,0.000379972,0.000379972,0.000379972
12,18.1876,0.74452,1.10683,0.91474,0.8401,0.23083,0.76037,0.58713,0.82037,2.66884,0.92425,0.000412808,0.000412808,0.000412808
13,19.6506,0.73144,0.99548,0.90803,0.91011,0.47432,0.82612,0.62614,0.84388,2.38534,0.93363,0.00044528,0.00044528,0.00044528
14,21.1038,0.70092,0.97193,0.89926,0.87013,0.50965,0.832,0.62532,0.85542,2.12149,0.93959,0.000477387,0.000477387,0.000477387
15,22.5368,0.67894,0.94624,0.90009,0.83185,0.52706,0.83963,0.63612,0.84901,2.01009,0.95309,0.000489548,0.000489548,0.000489548
16,24.0103,0.69131,0.9156,0.90681,0.88621,0.78099,0.86146,0.62831,0.85343,1.4444,0.95853,0.000486945,0.000486945,0.000486945
17,25.4743,0.68813,0.92248,0.90008,0.8652,0.73846,0.83236,0.63103,0.82849,1.58693,0.94572,0.000484341,0.000484341,0.000484341
18,26.9244,0.667,0.89916,0.89756,0.88228,0.81117,0.83279,0.63338,0.81267,0.98376,0.93703,0.000481737,0.000481737,0.000481737
19,28.5087,0.67257,0.86177,0.89068,0.85439,0.85442,0.86025,0.63192,0.83934,0.94761,0.95535,0.000479133,0.000479133,0.000479133
20,29.9576,0.67334,0.84717,0.89887,0.8489,0.84717,0.84657,0.64108,0.84228,0.87613,0.97029,0.00047653,0.00047653,0.00047653
21,31.4015,0.63158,0.80759,0.89013,0.83277,0.83747,0.84142,0.6383,0.8055,0.8547,0.95015,0.000473926,0.000473926,0.000473926
22,32.8533,0.62468,0.80679,0.88223,0.86223,0.86481,0.84615,0.65303,0.78327,0.79814,0.92064,0.000471322,0.000471322,0.000471322
23,34.3004,0.63174,0.8059,0.87655,0.89625,0.84372,0.86589,0.68294,0.75654,0.68738,0.90683,0.000468719,0.000468719,0.000468719
24,35.751,0.62296,0.76977,0.88789,0.88338,0.84762,0.86431,0.6622,0.78316,0.82583,0.92615,0.000466115,0.000466115,0.000466115
25,37.1929,0.60611,0.75793,0.87345,0.88735,0.8542,0.86951,0.64404,0.86734,0.74871,0.97567,0.000463511,0.000463511,0.000463511
26,38.668,0.63467,0.75905,0.88942,0.91385,0.82839,0.85798,0.62116,0.88647,0.66908,0.98692,0.000460907,0.000460907,0.000460907
27,40.1049,0.62727,0.77076,0.88499,0.86047,0.86145,0.8484,0.64974,0.78748,0.69397,0.93166,0.000458304,0.000458304,0.000458304
28,41.5573,0.63879,0.75156,0.89059,0.90854,0.81161,0.87629,0.67322,0.76308,0.66269,0.92636,0.0004557,0.0004557,0.0004557
29,43.0019,0.61697,0.71626,0.88235,0.79615,0.8363,0.91437,0.70009,0.78221,0.82481,0.93945,0.000453096,0.000453096,0.000453096
30,44.4628,0.597,0.70873,0.87268,0.91692,0.85236,0.89363,0.67894,0.77371,0.67262,0.93329,0.000450493,0.000450493,0.000450493
31,45.9053,0.61312,0.70011,0.87746,0.89682,0.83873,0.89212,0.65406,0.82844,0.65684,0.97717,0.000447889,0.000447889,0.000447889
32,47.3496,0.6088,0.68859,0.87444,0.85394,0.83918,0.86994,0.65319,0.83211,0.59163,0.97107,0.000445285,0.000445285,0.000445285
33,48.7926,0.60403,0.69857,0.87463,0.88739,0.8246,0.91182,0.71576,0.76817,0.60812,0.93266,0.000442682,0.000442682,0.000442682
34,50.2454,0.63526,0.72042,0.88634,0.89735,0.83562,0.92228,0.69416,0.86879,0.60879,0.98242,0.000440078,0.000440078,0.000440078
35,51.6853,0.60908,0.67378,0.87342,0.92126,0.85839,0.94975,0.71817,0.80194,0.60327,0.95299,0.000437474,0.000437474,0.000437474
36,53.1424,0.59081,0.67393,0.87803,0.87842,0.8698,0.96117,0.7448,0.76909,0.57943,0.93493,0.00043487,0.00043487,0.00043487
37,54.6088,0.58777,0.66123,0.8784,0.89946,0.86624,0.96589,0.74731,0.7933,0.58001,0.94268,0.000432267,0.000432267,0.000432267
38,56.1753,0.57039,0.63673,0.86656,0.92089,0.88804,0.96676,0.73791,0.81513,0.52305,0.96567,0.000429663,0.000429663,0.000429663
39,57.6162,0.5821,0.62747,0.87362,0.94689,0.86699,0.95928,0.75482,0.75849,0.53345,0.93037,0.000427059,0.000427059,0.000427059
40,59.0702,0.57896,0.63435,0.87035,0.95677,0.84016,0.95448,0.7485,0.74897,0.53809,0.92431,0.000424456,0.000424456,0.000424456
41,60.5114,0.57559,0.65151,0.87733,0.83832,0.95876,0.96093,0.74016,0.77767,0.55923,0.94039,0.000421852,0.000421852,0.000421852
42,61.9744,0.58759,0.65056,0.88021,0.84058,0.96212,0.94984,0.74785,0.72335,0.51995,0.91401,0.000419248,0.000419248,0.000419248
43,63.4116,0.57746,0.6123,0.86946,0.83536,0.95139,0.95156,0.74853,0.73255,0.52931,0.92821,0.000416645,0.000416645,0.000416645
44,64.8793,0.57075,0.62636,0.87178,0.85215,0.91068,0.9256,0.73139,0.75326,0.52098,0.93641,0.000414041,0.000414041,0.000414041
45,66.3205,0.58495,0.61121,0.86992,0.80898,0.93558,0.9436,0.74051,0.75325,0.52378,0.93601,0.000411437,0.000411437,0.000411437
46,67.7715,0.58366,0.59749,0.87358,0.89281,0.85371,0.94738,0.75058,0.74325,0.52499,0.93614,0.000408834,0.000408834,0.000408834
47,69.2065,0.58073,0.61641,0.87492,0.91853,0.80709,0.94065,0.74083,0.76353,0.55322,0.94298,0.00040623,0.00040623,0.00040623
48,70.6534,0.58071,0.60841,0.88166,0.95051,0.79587,0.93881,0.74553,0.72899,0.54782,0.91911,0.000403626,0.000403626,0.000403626
49,72.0918,0.54852,0.57786,0.85514,0.86692,0.83818,0.93269,0.73627,0.72553,0.55624,0.9246,0.000401022,0.000401022,0.000401022
50,73.5443,0.5416,0.57535,0.86556,0.87799,0.80984,0.93818,0.75559,0.72752,0.56521,0.9149,0.000398419,0.000398419,0.000398419
51,74.9773,0.566,0.592,0.8712,0.9121,0.82123,0.93447,0.74246,0.7309,0.53641,0.91966,0.000395815,0.000395815,0.000395815
52,76.4197,0.56621,0.5728,0.8656,0.92821,0.81767,0.92006,0.7183,0.78292,0.55981,0.94674,0.000393211,0.000393211,0.000393211
53,77.8479,0.56282,0.57038,0.87021,0.91096,0.83409,0.94203,0.72978,0.7566,0.5335,0.94154,0.000390608,0.000390608,0.000390608
54,79.434,0.56036,0.58616,0.86286,0.92748,0.83721,0.90464,0.6884,0.81975,0.5245,0.96501,0.000388004,0.000388004,0.000388004
55,80.879,0.55527,0.56522,0.86504,0.83755,0.88066,0.93861,0.75308,0.73351,0.505,0.93087,0.0003854,0.0003854,0.0003854
56,82.3283,0.54779,0.57174,0.86288,0.86928,0.91785,0.92102,0.75451,0.69793,0.49162,0.90216,0.000382796,0.000382796,0.000382796
57,83.7721,0.55338,0.55264,0.86328,0.86233,0.91508,0.92494,0.75126,0.72356,0.54326,0.91057,0.000380193,0.000380193,0.000380193
58,85.2469,0.53814,0.54198,0.85687,0.87903,0.94778,0.94515,0.74203,0.75422,0.52345,0.92866,0.000377589,0.000377589,0.000377589
59,86.676,0.5642,0.56722,0.86737,0.86605,0.9482,0.95187,0.7677,0.71617,0.55712,0.91636,0.000374985,0.000374985,0.000374985
60,88.1397,0.54306,0.54474,0.86186,0.81108,0.95531,0.9355,0.75739,0.70962,0.53339,0.91052,0.000372382,0.000372382,0.000372382
61,89.5906,0.52866,0.5421,0.86041,0.90009,0.85363,0.93869,0.74577,0.73752,0.54459,0.92516,0.000369778,0.000369778,0.000369778
62,91.0366,0.53115,0.53784,0.85713,0.80562,0.9569,0.91927,0.72394,0.74663,0.53142,0.936,0.000367174,0.000367174,0.000367174
63,92.4718,0.5326,0.53147,0.86372,0.81602,0.94693,0.91937,0.72394,0.76573,0.50516,0.9415,0.000364571,0.000364571,0.000364571
64,93.9288,0.53647,0.54118,0.86143,0.85492,0.8427,0.9318,0.72035,0.76554,0.52938,0.94872,0.000361967,0.000361967,0.000361967
65,95.3663,0.53782,0.5389,0.85594,0.84752,0.80395,0.88426,0.6929,0.75373,0.59846,0.9355,0.000359363,0.000359363,0.000359363
66,96.8115,0.53523,0.52669,0.85167,0.89341,0.86951,0.94024,0.72189,0.75015,0.50606,0.93098,0.00035676,0.00035676,0.00035676
67,98.2444,0.51915,0.53142,0.8532,0.93843,0.83887,0.9506,0.74123,0.75481,0.53775,0.94053,0.000354156,0.000354156,0.000354156
68,99.7179,0.54483,0.53926,0.87206,0.91354,0.84031,0.95457,0.7596,0.73009,0.56315,0.92807,0.000351552,0.000351552,0.000351552
69,101.148,0.53066,0.52406,0.85968,0.93402,0.82346,0.95115,0.75968,0.7259,0.563,0.9273,0.000348948,0.000348948,0.000348948
70,102.595,0.52519,0.53038,0.85849,0.93386,0.8166,0.95168,0.75037,0.73437,0.54891,0.92671,0.000346345,0.000346345,0.000346345
71,104.156,0.51297,0.50303,0.85785,0.94447,0.86444,0.96033,0.76692,0.72875,0.49959,0.91801,0.000343741,0.000343741,0.000343741
72,105.615,0.52146,0.51584,0.85956,0.943,0.86439,0.94983,0.76106,0.71024,0.47884,0.91663,0.000341137,0.000341137,0.000341137
73,107.049,0.53127,0.51338,0.86011,0.94624,0.8644,0.94826,0.75425,0.75205,0.47581,0.94285,0.000338534,0.000338534,0.000338534
74,108.498,0.51731,0.5232,0.85193,0.90935,0.86164,0.94856,0.7664,0.7267,0.50249,0.93004,0.00033593,0.00033593,0.00033593
75,109.948,0.50445,0.5026,0.84847,0.86738,0.84108,0.94558,0.76575,0.7209,0.54702,0.92781,0.000333326,0.000333326,0.000333326
76,111.402,0.51844,0.49701,0.8547,0.9021,0.85242,0.95204,0.77059,0.73373,0.49548,0.93668,0.000330722,0.000330722,0.000330722
77,112.842,0.50932,0.50032,0.84772,0.9178,0.80969,0.88842,0.72327,0.73377,0.50604,0.92522,0.000328119,0.000328119,0.000328119
78,114.295,0.51702,0.50403,0.84591,0.91824,0.84434,0.94716,0.76338,0.70761,0.46168,0.91384,0.000325515,0.000325515,0.000325515
79,115.735,0.50432,0.49378,0.85278,0.84488,0.87481,0.95602,0.76872,0.70552,0.47463,0.91232,0.000322911,0.000322911,0.000322911
80,117.183,0.50374,0.49234,0.85445,0.84838,0.95478,0.96211,0.77916,0.71306,0.50195,0.91089,0.000320308,0.000320308,0.000320308
81,118.639,0.50635,0.48174,0.8516,0.94435,0.86243,0.96772,0.77487,0.73416,0.47583,0.92321,0.000317704,0.000317704,0.000317704
82,120.092,0.53056,0.49707,0.86195,0.88662,0.87613,0.90078,0.72829,0.71383,0.47926,0.91348,0.0003151,0.0003151,0.0003151
83,121.549,0.52102,0.49471,0.85793,0.93351,0.84674,0.95171,0.75241,0.75698,0.47265,0.93982,0.000312497,0.000312497,0.000312497
84,123.002,0.52857,0.49375,0.85404,0.87848,0.93215,0.94056,0.7737,0.72041,0.48385,0.91385,0.000309893,0.000309893,0.000309893
85,124.448,0.51394,0.50086,0.8574,0.91367,0.91248,0.92876,0.74914,0.71863,0.48765,0.91352,0.000307289,0.000307289,0.000307289
86,125.902,0.49847,0.47552,0.84683,0.86395,0.9441,0.94593,0.77173,0.71786,0.48608,0.91927,0.000304685,0.000304685,0.000304685
87,127.332,0.5032,0.47946,0.85204,0.92408,0.86086,0.90897,0.73607,0.72122,0.48929,0.92014,0.000302082,0.000302082,0.000302082
88,128.89,0.49998,0.46552,0.85185,0.95398,0.85471,0.95541,0.74963,0.76186,0.49084,0.95061,0.000299478,0.000299478,0.000299478
89,130.344,0.49271,0.46246,0.84525,0.9382,0.85438,0.95944,0.74747,0.7969,0.50205,0.96136,0.000296874,0.000296874,0.000296874
90,131.796,0.51924,0.48765,0.85917,0.86959,0.95496,0.95741,0.75132,0.74436,0.49257,0.93478,0.000294271,0.000294271,0.000294271
