epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.76498,0.94618,4.43417,1.01899,0.03846,0.01282,0.02878,0.0259,0.867,4.26014,0.95831,8.942e-05,8.942e-05,8.942e-05
2,3.48936,0.90693,3.3686,0.96961,0.03693,0.51163,0.12389,0.09115,0.86372,3.81907,0.93688,0.000183341,0.000183341,0.000183341
3,5.19384,0.8816,2.42602,0.97714,0.87875,0.13645,0.39328,0.27826,0.85513,3.40728,0.92816,0.00027648,0.00027648,0.00027648
4,6.85848,0.82172,1.90926,0.95767,0.68059,0.27772,0.60235,0.42607,0.8708,2.78506,0.96642,0.000368838,0.000368838,0.000368838
5,8.53567,0.82837,1.6609,0.9543,0.77148,0.31778,0.60812,0.458,0.82002,2.34767,0.94315,0.000460416,0.000460416,0.000460416
6,10.1962,0.78392,1.42502,0.94491,0.8117,0.65456,0.76601,0.55319,0.83746,1.65508,0.96071,0.000515151,0.000515151,0.000515151
7,11.8481,0.78363,1.31288,0.93785,0.76653,0.71334,0.78626,0.57741,0.84019,1.49623,0.96042,0.000512981,0.000512981,0.000512981
8,13.5321,0.76419,1.26456,0.93842,0.7991,0.81081,0.8111,0.60703,0.82407,1.05805,0.94675,0.000510812,0.000510812,0.000510812
9,15.1821,0.74141,1.12118,0.91687,0.87001,0.81079,0.83362,0.60376,0.83497,0.93131,0.95551,0.000508642,0.000508642,0.000508642
10,16.8407,0.72232,1.09413,0.92851,0.84048,0.87237,0.8295,0.60444,0.85107,0.83731,0.97166,0.000506472,0.000506472,0.000506472
11,18.4901,0.71159,1.03533,0.91369,0.84071,0.79909,0.8257,0.59427,0.83237,0.9251,0.96534,0.000504302,0.000504302,0.000504302
12,20.1342,0.70404,0.99678,0.90789,0.82518,0.84603,0.86417,0.6405,0.8063,0.81871,0.96056,0.000502133,0.000502133,0.000502133
13,21.7732,0.72369,1.00976,0.91788,0.89336,0.82948,0.86739,0.65442,0.77129,0.757,0.94477,0.000499963,0.000499963,0.000499963
14,23.457,0.68859,0.94898,0.91146,0.8389,0.87852,0.86322,0.63318,0.79538,0.69289,0.95169,0.000497793,0.000497793,0.000497793
