epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.90987,0.94345,4.42961,1.01134,0.07692,0.01282,0.04487,0.04038,0.78261,4.24176,0.90818,9.468e-05,9.468e-05,9.468e-05
2,3.66298,0.88852,3.25699,0.97533,0.06725,0.57009,0.19601,0.14571,0.79263,3.70572,0.91823,0.000192212,0.000192212,0.000192212
3,5.44136,0.86112,2.33584,0.98069,0.05735,0.85128,0.44293,0.3246,0.805,3.2049,0.92008,0.00028727,0.00028727,0.00028727
4,7.18516,0.83179,1.8304,0.94897,0.73829,0.21904,0.57726,0.42495,0.84276,2.77877,0.94196,0.000379854,0.000379854,0.000379854
5,8.93051,0.79067,1.55779,0.9476,0.71944,0.40448,0.64278,0.48183,0.83393,2.09893,0.93338,0.000469965,0.000469965,0.000469965
6,10.6843,0.80943,1.39873,0.94672,0.77356,0.68792,0.74864,0.55894,0.83549,1.63053,0.92725,0.000493454,0.000493454,0.000493454
7,12.4229,0.75577,1.26118,0.9222,0.79261,0.76173,0.78322,0.57152,0.83061,1.36817,0.93877,0.000486945,0.000486945,0.000486945
8,14.1708,0.75046,1.20825,0.93111,0.7384,0.73932,0.75632,0.54469,0.86343,1.25632,0.94898,0.000480435,0.000480435,0.000480435
9,15.8771,0.74142,1.11872,0.93591,0.77298,0.7634,0.74014,0.55566,0.80966,1.04642,0.9237,0.000473926,0.000473926,0.000473926
10,17.6298,0.72484,1.07049,0.92457,0.79625,0.77019,0.78579,0.58541,0.78671,0.89457,0.92823,0.000467417,0.000467417,0.000467417
11,19.3926,0.72642,1.03458,0.91306,0.83109,0.82416,0.83719,0.6474,0.73709,0.79087,0.90347,0.000460907,0.000460907,0.000460907
12,21.1367,0.69173,0.94647,0.90002,0.87714,0.86002,0.87544,0.68561,0.76753,0.68917,0.90833,0.000454398,0.000454398,0.000454398
13,22.9653,0.66815,0.91543,0.89608,0.87802,0.81453,0.86071,0.66993,0.76501,0.78437,0.91446,0.000447889,0.000447889,0.000447889
14,24.7036,0.67164,0.88667,0.90077,0.91659,0.80484,0.85972,0.65473,0.75628,0.72614,0.90735,0.00044138,0.00044138,0.00044138
15,26.4258,0.66797,0.91577,0.90053,0.84175,0.81303,0.80729,0.61799,0.74457,0.68601,0.90954,0.00043487,0.00043487,0.00043487
16,28.266,0.65615,0.87345,0.89338,0.92343,0.80334,0.84133,0.65404,0.74808,0.64796,0.9074,0.000428361,0.000428361,0.000428361
17,29.9925,0.64905,0.83737,0.8977,0.91382,0.83272,0.87021,0.66705,0.76083,0.68582,0.91035,0.000421852,0.000421852,0.000421852
18,31.7394,0.66522,0.79868,0.8937,0.89344,0.8794,0.88632,0.68158,0.73345,0.61576,0.90694,0.000415343,0.000415343,0.000415343
19,33.5575,0.63449,0.81341,0.89225,0.91996,0.82316,0.86631,0.66786,0.76077,0.59308,0.91152,0.000408834,0.000408834,0.000408834
20,35.3152,0.61353,0.78127,0.88762,0.86735,0.8684,0.86042,0.67186,0.73397,0.58301,0.90111,0.000402324,0.000402324,0.000402324
21,37.0297,0.63166,0.7615,0.87882,0.89915,0.86789,0.88196,0.69177,0.74749,0.61421,0.90431,0.000395815,0.000395815,0.000395815
22,38.7614,0.62219,0.75591,0.89283,0.92163,0.88049,0.88343,0.68342,0.72918,0.59173,0.89308,0.000389306,0.000389306,0.000389306
23,40.4868,0.62132,0.77725,0.88628,0.92923,0.8639,0.88686,0.6852,0.75073,0.56282,0.91292,0.000382796,0.000382796,0.000382796
24,42.2133,0.60725,0.72833,0.88841,0.9017,0.84536,0.89333,0.69689,0.74418,0.57546,0.91139,0.000376287,0.000376287,0.000376287
25,43.9393,0.62197,0.72804,0.88726,0.93589,0.81714,0.93715,0.74469,0.73216,0.5928,0.90022,0.000369778,0.000369778,0.000369778
26,45.6931,0.60734,0.71041,0.88488,0.9558,0.8377,0.94801,0.74525,0.73767,0.57312,0.90714,0.000363269,0.000363269,0.000363269
27,47.4223,0.60727,0.68226,0.87279,0.96817,0.87808,0.96689,0.76768,0.71872,0.53335,0.90078,0.00035676,0.00035676,0.00035676
